crim,rm,age,dis,rad,lstat,medv
0.00632,6.575,65.2,4.09,1,4.98,24
0.02731,6.421,78.9,4.9671,2,9.14,21.6
0.02729,7.185,61.1,4.9671,2,4.03,34.7
0.03237,6.998,45.8,6.0622,3,2.94,33.4
0.06905,7.147,54.2,6.0622,3,5.33,36.2
0.02985,6.43,58.7,6.0622,3,5.21,28.7
0.08829,6.012,66.6,5.5605,5,12.43,22.9
0.14455,6.172,96.1,5.9505,5,19.15,27.1
0.21124,5.631,100,6.0821,5,29.93,16.5
0.17004,6.004,85.9,6.5921,5,17.1,18.9
0.22489,6.377,94.3,6.3467,5,20.45,15
0.11747,6.009,82.9,6.2267,5,13.27,18.9
0.09378,5.889,39,5.4509,5,15.71,21.7
0.62976,5.949,61.8,4.7075,4,8.26,20.4
0.63796,6.096,84.5,4.4619,4,10.26,18.2
0.62739,5.834,56.5,4.4986,4,8.47,19.9
1.05393,5.935,29.3,4.4986,4,6.58,23.1
0.7842,5.99,81.7,4.2579,4,14.67,17.5
0.80271,5.456,36.6,3.7965,4,11.69,20.2
0.7258,5.727,69.5,3.7965,4,11.28,18.2
1.25179,5.57,98.1,3.7979,4,21.02,13.6
0.85204,5.965,89.2,4.0123,4,13.83,19.6
1.23247,6.142,91.7,3.9769,4,18.72,15.2
0.98843,5.813,100,4.0952,4,19.88,14.5
0.75026,5.924,94.1,4.3996,4,16.3,15.6
0.84054,5.599,85.7,4.4546,4,16.51,13.9
0.67191,5.813,90.3,4.682,4,14.81,16.6
0.95577,6.047,88.8,4.4534,4,17.28,14.8
0.77299,6.495,94.4,4.4547,4,12.8,18.4
1.00245,6.674,87.3,4.239,4,11.98,21
1.13081,5.713,94.1,4.233,4,22.6,12.7
1.35472,6.072,100,4.175,4,13.04,14.5
1.38799,5.95,82,3.99,4,27.71,13.2
1.15172,5.701,95,3.7872,4,18.35,13.1
1.61282,6.096,96.9,3.7598,4,20.34,13.5
0.06417,5.933,68.2,3.3603,5,9.68,18.9
0.09744,5.841,61.4,3.3779,5,11.41,20
0.08014,5.85,41.5,3.9342,5,8.77,21
0.17505,5.966,30.2,3.8473,5,10.13,24.7
0.02763,6.595,21.8,5.4011,3,4.32,30.8
0.03359,7.024,15.8,5.4011,3,1.98,34.9
0.12744,6.77,2.9,5.7209,3,4.84,26.6
0.1415,6.169,6.6,5.7209,3,5.81,25.3
0.15936,6.211,6.5,5.7209,3,7.44,24.7
0.12269,6.069,40,5.7209,3,9.55,21.2
0.17142,5.682,33.8,5.1004,3,10.21,19.3
0.18836,5.786,33.3,5.1004,3,14.15,20
0.22927,6.03,85.5,5.6894,3,18.8,16.6
0.25387,5.399,95.3,5.87,3,30.81,14.4
0.21977,5.602,62,6.0877,3,16.2,19.4
0.08873,5.963,45.7,6.8147,4,13.45,19.7
0.04337,6.115,63,6.8147,4,9.43,20.5
0.0536,6.511,21.1,6.8147,4,5.28,25
0.04981,5.998,21.4,6.8147,4,8.43,23.4
0.0136,5.888,47.6,7.3197,3,14.8,18.9
0.01311,7.249,21.9,8.6966,5,4.81,35.4
0.02055,6.383,35.7,9.1876,2,5.77,24.7
0.01432,6.816,40.5,8.3248,5,3.95,31.6
